4,10,0,0,swipeUp,1
2,0,5,0,swipeUp,1
3,0,0,4,swipeUp,1
4,29,0,0,swipeUp,1
2,0,4,0,swipeUp,1
3,0,0,5,swipeUp,1
4,9,0,0,swipeUp,1
5,0,6,0,swipeUp,1
3,0,0,4,swipeUp,1
7,16,0,0,swipeUp,1
3,0,0,5,swipeUp,1
5,0,9,6,swipeUp,1
4,15,0,0,swipeUp,1
3,0,0,4,swipeUp,1
6,0,0,6,swipeUp,1
5,0,8,6,swipeUp,1
6,0,0,6,swipeUp,1
4,13,0,0,swipeUp,1
3,0,0,5,swipeUp,1
2,0,5,0,swipeUp,1
3,0,0,4,swipeUp,1
3,0,0,5,swipeUp,1
5,0,9,8,swipeUp,1
8,13,14,0,swipeUp,1
2,0,5,0,swipeUp,1
3,0,0,5,swipeUp,1
7,17,0,0,swipeUp,1
3,0,0,4,swipeUp,1
5,12,10,0,swipeUp,1
5,0,13,0,swipeUp,1
4,9,0,0,swipeUp,1
6,0,0,6,swipeUp,1
2,0,4,0,swipeUp,1
7,16,0,0,swipeUp,1
2,0,5,8,swipeUp,1
3,0,0,5,swipeUp,1
5,24,25,0,swipeUp,1
3,0,0,4,swipeUp,1
6,0,0,7,swipeUp,1
6,0,0,6,swipeUp,1
2,0,5,0,swipeUp,1
1,5,0,0,swipeUp,1
2,0,3,0,swipeUp,1
6,0,0,7,swipeUp,1
3,0,0,5,swipeUp,1
2,0,5,0,swipeUp,1
8,0,15,0,swipeUp,1
3,0,0,5,swipeUp,1
4,8,0,0,swipeUp,1
5,0,6,0,swipeUp,1
6,0,0,7,swipeUp,1
5,0,7,0,swipeUp,1
5,0,9,0,swipeUp,1
5,0,8,6,swipeUp,1
5,0,7,0,swipeUp,1
1,5,0,0,swipeUp,1
3,0,0,4,swipeUp,1
3,0,0,3,swipeUp,1
5,0,9,0,swipeUp,1
1,5,0,0,swipeUp,1
2,0,5,0,swipeUp,1
3,0,0,5,swipeUp,1
2,0,5,0,swipeUp,1
2,0,5,0,swipeUp,1
5,0,8,0,swipeUp,1
3,0,0,4,swipeUp,1
5,0,8,0,swipeUp,1
6,0,0,7,swipeUp,1
6,0,0,6,swipeUp,1
2,0,5,0,swipeUp,1
2,0,5,0,swipeUp,1
3,0,0,5,swipeUp,1
1,5,0,0,swipeUp,1
6,0,0,9,swipeUp,1
5,0,7,8,swipeUp,1
5,17,17,0,swipeUp,1
6,0,0,5,swipeUp,1
4,6,0,0,swipeUp,1
3,0,0,4,swipeUp,1
4,10,0,0,swipeUp,1
6,0,0,6,swipeUp,1
7,14,0,0,swipeUp,1
6,0,0,7,swipeUp,1
5,0,10,11,swipeUp,1
4,7,0,0,swipeUp,1
6,0,0,6,swipeUp,1
1,4,0,0,swipeUp,1
6,0,0,7,swipeUp,1
1,5,0,0,swipeUp,1
3,0,0,5,swipeUp,1
4,8,0,0,swipeUp,1
3,0,0,5,swipeUp,1
5,0,9,7,swipeUp,1
4,8,0,0,swipeUp,1
6,0,0,6,swipeUp,1
5,0,11,0,swipeUp,1
4,13,0,0,swipeUp,1
6,0,0,6,swipeUp,1
7,15,0,0,swipeUp,1
3,0,0,5,swipeUp,1
5,0,8,0,swipeUp,1
3,0,0,4,swipeUp,1
4,7,0,0,swipeUp,1
5,0,8,0,swipeUp,1
3,0,0,5,swipeUp,1
4,8,0,0,swipeUp,1
6,0,0,4,swipeUp,1
1,4,0,0,swipeUp,1
8,0,15,0,swipeUp,1
3,0,0,5,swipeUp,1
5,0,10,0,swipeUp,1
4,10,0,0,swipeUp,1
3,0,0,5,swipeUp,1
8,0,13,0,swipeUp,1
1,4,0,0,swipeUp,1
3,0,0,5,swipeUp,1
5,0,8,0,swipeUp,1
4,7,0,0,swipeUp,1
3,0,0,4,swipeUp,1
3,0,0,2,swipeUp,1
5,0,6,0,swipeUp,1
7,17,0,0,swipeUp,1
3,0,0,5,swipeUp,1
